"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"Fscan";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"last";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.49";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.49;90.4467206742249;267.79174705277;5459.5941429457;56903.3236991391;92792.3853948039;19804.6684039296;2462.57561343367;3819.22854437676;0.864114179182603;0.9994;0.9911;1;1;1;0.996;9.994;9.977;NA;9.911;9.85416666666667;NA;0;0;0;0.413343938098607;0.67994474765784;1.19766698937555;53.0672265686471;2628.15364283514;39320.9183460804;8589.26196364835;3430.83218133759;1685.95137158226;0.862810198127731
"last";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.5";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.5;65.9628991752651;185.536384053675;3901.3948439011;48347.3982440558;81317.2460854387;16838.2096117683;1661.23323009906;3335.25100978299;0.851989740019348;0.9998;0.9929;1;1;1;0.997;9.998;9.989;NA;9.929;9.881;NA;0;0;0;0.428617779323072;0.722846315026672;1.22090201942422;39.3173317110041;1984.06893675295;35147.9937769835;7482.21735782321;3130.00177793102;1507.14428306708;0.850434024659829
"last";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0;282818.463226818;300584.80903538;367495.737463568;454102.207749935;483772.554164176;374154.858855221;366192.331586407;29639.0132772155;1.00542375780091;0.2899;0;0.743;0;0.304;0;2.899;2.21033333333333;NA;0;0;2041;0.8233;1;8.233;0;0;0;0;1e-06;1e-06;8.84e-07;1.34696275618162e-22;1.33078287490842e-22;1
"last";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan1.5";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";1.5;3.46346826901803;6.34841478953787;55.6414186171502;426.182205609716;778.006078834685;184.102252544288;10.7560087812329;59.2016580440984;0.732058834987019;1;1;1;1;1;1;10;10;NA;10;10;NA;0;0;0;1.0114965634535;1.215814395103;1.38611729062346;2.40939053014521;38.5660670426467;538.109233148855;126.625887973506;112.660410997012;39.9518359858289;0.730129011560712
"last";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan1";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";1;3.95768720034147;7.44069324924901;67.1907755193676;566.062259893725;1088.29449945977;255.059754106859;13.2108602246409;80.7487713780167;0.735697489099362;1;1;1;1;1;1;10;10;NA;10;10;NA;0;0;0;0.973413830146698;1.2066635888763;1.37352545225349;2.73587587082726;46.0308859870377;741.528844480383;172.289019086629;149.714343483335;53.4558044116482;0.732963662980491
"last";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan2";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";2;3.41970182693865;6.21987062979421;54.2381378310172;403.71503132946;721.108480976344;172.974381751932;10.4390228362936;55.9345990995713;0.731576425691356;1;1;1;1;1;1;10;10;NA;10;10;NA;0;0;0;1.01619182296877;1.21745382447194;1.38827030157698;2.37580220017869;37.6236335949705;498.733349326833;119.447044617414;106.924919743625;38.0082143623736;0.730042387347683
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.01;471844.905781875;509335.104793244;655408.59266482;861183.741228962;932838.913036159;674911.851706423;655167.356999581;67802.3431314941;1.00916831249617;5e-04;0;0.004;0;0.002;0;0.005;0.005;2041;0;0;2041;0;0;0;0.00801586334354602;0.00994887892128687;0.0112141496720551;4535.94208465807;6389.30096415769;9182.72438501368;6586.40060823329;1021.54828670851;700.994918764913;1.00910692339964
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.02";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.02;457843.544076377;493807.059510661;638720.181094691;842263.677502524;913917.601692796;658241.478632078;637194.049167711;67934.6978508498;1.00964427732284;7e-04;0;0.005;0;0.003;0;0.007;0.007;2041;0;0;2041;0;0;0;0.0159161896047622;0.0198758204344617;0.0224756126161132;8757.21812867159;12389.7472560025;17928.6296643413;12783.0196806068;2023.53505710343;1397.56539453964;1.00960475700123
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.03";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.03;444481.998720557;479655.56292395;622881.598570311;824848.183343555;896672.059261773;642454.240188789;622155.796039959;68067.7675724712;1.01013756854974;9e-04;0;0.006;0;0.003;0;0.009;0.009;2041;0;0;2041;0;0;0;0.0237443038909964;0.0297999944431519;0.0338278373155878;12673.1474263442;18041.2480561363;26229.4568687163;18620.6659560772;3006.78182467696;2089.79625605825;1.01012270774403
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.04";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.04;431565.748416197;466532.183917631;607842.501395199;807929.193126865;879181.890643697;627476.127281246;607756.271375347;68200.4838213143;1.01064693463124;0.0019;0;0.013;0;0.004;0;0.019;0.019;2041;0;0;2041;0;0;0;0.0314191729467355;0.0397387272987833;0.0453028738354721;16306.3255817494;23365.4155046655;34106.2852893348;24126.791251999;3972.05363522838;2777.76788753824;1.01065932540194
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.05";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.05;419366.04797835;453894.575719501;593320.205315364;792515.820357956;863782.36460649;613239.780250259;592713.038091076;68331.1650726771;1.01116810693471;0.0036;0;0.025;0;0.006;0;0.036;0.036;2041;0;0;2041;0;0;0;0.039060881388202;0.0496613251978677;0.0568132068505168;19713.0785176575;28382.2731596913;41624.3824287983;29325.9552112937;4920.2593409762;3461.44438005899;1.01120832145114
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.06";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.06;407617.250498737;441765.540855057;580026.169495802;777794.236494972;849527.190191775;599667.185313638;578910.814769677;68458.5863380848;1.01170575898229;0.0067;0;0.04;0;0.012;0;0.067;0.064;2041;0;0;2041;0;0;0;0.0465355132381525;0.0595974502401836;0.0684411894181086;22858.2668356425;33118.6896493006;48831.336718939;34239.0659825816;5852.0624928027;4140.68028790817;1.01177227298736
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.07";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.07;396297.534943528;430101.556599703;567253.581885258;763750.492968777;835739.458392502;586709.570734581;566341.204438313;68580.3021433498;1.01225227275954;0.009;0;0.05;0;0.014;0;0.09;0.084;2041;0;0;2041;0;0;0;0.053919233910548;0.0695307910756569;0.0801635111373789;25816.0640858673;37606.6385756418;55695.9398266887;38885.7786125253;6768.14796144098;4815.47030870392;1.01235217851291
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.08";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.08;385014.762907704;419228.667393652;554945.799549611;749673.760909232;822842.499198496;574301.988111122;555033.792422458;68692.253727415;1.0128133214393;0.0129;0;0.068;0;0.016;0;0.129;0.115;2041;0;0;2041;0;0;0;0.0612850940871385;0.0794629563020557;0.0920091683131556;28588.9436187966;41833.1718538497;62189.1851741355;43282.2770127921;7669.03580628739;5485.40811278291;1.01294280843517
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.09";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.09;374300.687822792;408139.263445521;543183.264104628;736971.921592489;810044.745621461;562376.747641675;543905.490503849;68786.9904091545;1.01338794303235;0.0185;0;0.104;0;0.024;0;0.185;0.17;2041;0;0;2041;0;0;0;0.0684892882384796;0.0893950108873074;0.103955199444508;31157.8064431593;45808.8921035831;68477.6225076548;47441.7018415604;8554.70303095643;6149.52158003489;1.01354888644069
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.1";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.1;363865.308324941;397468.304920397;532118.335710224;724735.368260317;798093.360519963;550870.549150261;532798.023497452;68858.0970552621;1.0139773721448;0.0252;0;0.13;0;0.032;0;0.252;0.233;2041;0;0;2041;0;0;0;0.0756092379377666;0.0993233281864789;0.116012732448179;33499.4599013021;49625.353975409;74452.6719874181;51374.7942829577;9425.62240072919;6807.01141478784;1.01417932864306
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.11";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.11;353611.16078521;387080.471602043;521099.135167901;712920.507174728;785119.208716576;539742.62150618;522325.622495156;68907.2962637646;1.01456509007602;0.035;2e-04;0.168;0.001;0.04;0.001;0.35;0.3235;2041;0.002;0.002;2041;0;0;0;0.0825851606296369;0.109252796457192;0.128195258238971;35617.7391815468;53185.3975127919;80199.5264727874;55092.7062057985;10282.4825470568;7457.41252415186;1.01482382146773
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.12";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.12;343995.982721865;377465.403198461;510306.349147999;700933.046561115;772763.122189609;528910.156857383;511516.696515176;68918.4266574217;1.01516431666303;0.0446;2e-04;0.198;0.001;0.049;0.001;0.446;0.412;2041;0.002;0.002;2041;0;0;0;0.0895545060015732;0.11918290237403;0.140448967672109;37584.6667502499;56538.8339486431;85700.6801296587;58599.7974088043;11123.0784636501;8097.98742428036;1.01547582882966
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.13";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.13;333246.23811953;367299.675549447;500108.328107785;689177.970421527;761328.506034449;518354.079484669;500694.144646573;68898.9609190934;1.0157934898782;0.0548;4e-04;0.228;0.003;0.062;0.002;0.548;0.493;2043;0.004;0.004;2041;0;0;0;0.0963524068508713;0.129109399412209;0.152854895721702;39326.2170966629;59734.5205294341;90971.3353696264;61904.1933380816;11950.0725697724;8728.95250274847;1.01615902903189
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.14";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.14;321707.184545153;357268.9735165;490221.569560455;679032.76124688;750642.903877574;508006.005477383;490429.033917275;68844.3519590274;1.0164338150401;0.0682;0.0012;0.277;0.006;0.075;0.005;0.682;0.609166666666667;NA;0.012;0.012;2041;0;0;0;0.102967927823541;0.139040162104803;0.165333475567045;40947.0040734942;62765.5434058294;96096.1306355392;65008.3192142535;12763.1662188971;9348.34853150939;1.01685836314676
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.15";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.15;310625.300658938;346697.962250293;480307.806594968;668507.918996219;739647.834453657;497829.22294995;481513.712066565;68754.6299189899;1.0170807331666;0.0826;0.0013;0.317;0.007;0.089;0.005;0.826;0.7285;NA;0.013;0.013;2041;0;0;0;0.109686713108523;0.148981843525219;0.178010764408202;42068.9494009443;65587.0394339272;100835.597242766;67916.0360056593;13560.2674175672;9955.40470236399;1.01756957722393
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.16";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.16;298179.39108705;336218.31696938;470642.831353103;658549.369595167;729571.336626355;487703.774886265;470961.987534433;68597.0439894734;1.01772588896659;0.1028;0.0028;0.369;0.014;0.112;0.007;1.028;0.890666666666667;NA;0.028;0.028;2041;0;0;0;0.116043451044619;0.158917386001535;0.190802817465053;43195.1185516955;68269.1080371357;105490.363546812;70618.0734095794;14337.8381738548;10545.0897217482;1.01827813190274
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.17";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.17;284797.702173555;325524.444395267;461336.245124705;648864.372186958;719111.607037143;477566.095088218;460717.093405565;68364.0625476374;1.0183408702855;0.1261;0.0054;0.433;0.027;0.135;0.009;1.261;1.08133333333333;NA;0.054;0.0525;2041;0;0;0;0.122437070224576;0.168862594736318;0.203688143872731;43787.6001813339;70761.0551097929;109861.524104838;73109.7797811592;15095.5199024145;11113.3520264664;1.01896246473005
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.18";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.18;270853.481015271;313541.052136711;451474.964911988;639443.25648783;708833.190390242;467396.817138354;451249.490560923;68057.1408705056;1.0189277160091;0.1481;0.0096;0.488;0.043;0.156;0.014;1.481;1.28516666666667;NA;0.096;0.086;2041;0;0;0;0.128711888127786;0.178841868394954;0.216716889507029;43803.1944524256;73021.1741475975;114107.319345182;75392.3418871253;15830.3820399947;11659.8006237459;1.01960656204822
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.19";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.19;256695.427926747;301624.632717114;442282.932650627;629888.006803647;699373.08405074;457194.085708115;442557.616602797;67683.3382227972;1.01953061490125;0.1698;0.0144;0.532;0.051;0.185;0.017;1.698;1.48633333333333;NA;0.144;0.1325;2041;0;0;0;0.134938892809127;0.188814600665506;0.230020416065637;43781.8565766528;75103.6323803318;118073.900192808;77464.9532838573;16539.7057150171;12182.6587259559;1.02025073215109
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.2";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.2;242907.896529704;288779.005904025;433026.000731048;619947.432338872;690367.97780701;446924.649641192;433536.204029098;67242.9944055508;1.02013879321538;0.1947;0.0211;0.585;0.066;0.205;0.025;1.947;1.70708333333333;NA;0.211;0.1965;2041;0;0;0;0.14111536442275;0.198747827198842;0.243424264813846;43375.4374779296;77026.6262765816;121850.519271584;79324.6661829092;17223.5373868441;12680.7928629913;1.02087838804632
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.21";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.21;229157.616301638;275639.303152127;423248.019856427;610081.345529514;679469.626639083;436479.417400356;424208.174979064;66693.9790105119;1.0207160200939;0.2198;0.0295;0.619;0.08;0.224;0.033;2.198;1.87308333333333;NA;0.295;0.259333333333333;2041;0;0;0;0.147116995001439;0.208764849761938;0.256891302329513;43039.9200626762;78628.4386770733;125297.181394165;80953.8769861083;17873.5286772229;13142.6643615119;1.0214845918518
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.22";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.22;215094.137609009;262047.821376053;412939.579130017;600274.921686536;669881.957111149;425853.803779248;415520.208666466;66032.9621233785;1.02124521480889;0.2533;0.0377;0.678;0.096;0.261;0.046;2.533;2.1245;NA;0.377;0.353666666666667;2041;0;0;0;0.153405783641194;0.218853057904474;0.270529259476419;42089.1596507826;80044.4910887593;128637.406079557;82351.1974047822;18485.5650676662;13565.0827006125;1.02202103009059
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.23";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.23;199564.696233977;247218.956069294;403044.209157838;590451.161005523;660836.071757458;414908.900151511;406112.617096871;65215.8852296082;1.02169032247972;0.2858;0.0478;0.735;0.122;0.297;0.055;2.858;2.391;NA;0.478;0.443333333333333;2041;0;0;0;0.159339776949207;0.228998746224549;0.284580534763753;40882.3093815706;81196.7707505875;131855.65299229;83488.3456750156;19047.9906098848;13940.7733325054;1.02245080715404
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.24";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.24;182729.257958301;232161.1597843;392399.765984719;581238.977438363;651163.671614733;403632.345550192;396787.814596418;64262.7320090965;1.02204407881436;0.3224;0.061;0.768;0.154;0.329;0.069;3.224;2.70733333333333;NA;0.61;0.550333333333333;2041;0;0;0;0.165503146275418;0.239122361813342;0.298899015551638;38921.8302346404;82102.2686779629;134574.044761188;84360.8847409018;19563.8961629051;14271.6102929647;1.02278464442845
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.25";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.25;166776.300783146;217501.214980906;381539.188500815;571336.220588692;641746.352114692;391878.582150724;383336.233102534;63172.6186049392;1.02229370005394;0.3598;0.0768;0.807;0.185;0.369;0.086;3.598;3.00475;NA;0.768;0.690833333333333;NA;0;0;0;0.171392035318132;0.249171394000657;0.313414488754919;36787.9107598988;82881.6797295569;137310.566292402;84934.4796671075;20025.8772402299;14549.3483568193;1.02297419540361
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.26";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.26;151066.42180772;200826.944801694;370810.208991563;561809.554677347;631851.964173485;379617.586215785;372082.248252773;61940.761594399;1.02229759167483;0.3976;0.0959;0.837;0.231;0.414;0.109;3.976;3.31583333333333;NA;0.959;0.871666666666667;NA;0;0;0;0.177684550304691;0.259406630312362;0.328203846342518;34416.1177515807;83421.9333354505;139862.495435366;85202.1981950675;20420.3732782665;14766.7388324869;1.02293708763302
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.27";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.27;134200.980446641;184107.576452052;358962.120934705;551439.002180761;619906.237528421;366871.602125756;360491.960880075;60556.5950403812;1.02212430857095;0.4362;0.1164;0.861;0.273;0.45;0.128;4.362;3.68466666666667;NA;1.164;1.08166666666667;NA;0;0;0;0.183611444683649;0.269793183939794;0.343760529492976;31949.2167406044;83448.8911312138;142067.947677107;85152.340225767;20748.6662385981;14927.8968851904;1.02275945907209
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.28";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.28;119556.242400807;167151.517064764;346867.113652375;540510.234448198;607298.410156571;353726.936564982;347817.888831796;59051.2532956949;1.02178963460883;0.4714;0.1424;0.88;0.319;0.478;0.156;4.714;4.0185;NA;1.424;1.29016666666667;NA;0;0;0;0.189931323065649;0.279936857012218;0.359831723674175;29434.3361691102;83396.1960678931;144152.879826115;84800.2486799239;21017.2373062835;15035.4790833353;1.02239868077999
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.29";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.29;104076.233283994;150393.255069203;334644.956902139;530295.517688047;594674.634201024;340217.370633706;332630.267120337;57459.1865350355;1.02134912426636;0.5079;0.1725;0.905;0.36;0.515;0.184;5.079;4.35916666666667;NA;1.725;1.60516666666667;NA;0;0;0;0.195949605063913;0.290416443551422;0.376027052451849;26865.7615433144;83016.7959748406;145706.2792522;84140.3782160313;21225.6858650895;15089.3109215085;1.02189632284506
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.3";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.3;90108.4856746962;133565.432186632;321220.704107138;517359.218744392;582719.291053646;326302.04901706;317674.607788979;55744.8053373781;1.02071644021996;0.5507;0.2037;0.926;0.408;0.566;0.216;5.507;4.7335;NA;2.037;1.87083333333333;NA;0;0;0;0.201661376260823;0.301213417451505;0.392243463850878;23959.1851550199;82129.5014040105;146956.31088003;83162.4332638522;21355.3132764783;15079.222885884;1.02118523057283
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.31";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.31;77833.5986345654;117353.180234321;306239.097637382;505368.84903048;569388.509219235;311897.212101275;300693.149531627;53865.5064872485;1.01977388222942;0.589;0.239;0.944;0.452;0.603;0.258;5.89;5.10033333333333;NA;2.39;2.19066666666667;NA;0;0;0;0.207851785491703;0.311792196762837;0.409832001982666;21509.0341159623;80785.1840491351;148040.224079689;81848.3437559573;21387.5234520269;14989.9062587723;1.02017470305699
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.32";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.32;66730.8813655936;101196.74334916;289652.620383488;491737.8001157;558523.083266094;297169.106783296;282779.165604979;51850.0473437286;1.01848896262512;0.6229;0.2787;0.953;0.505;0.637;0.298;6.229;5.4255;NA;2.787;2.544;NA;0;0;0;0.213792129566354;0.322274766396999;0.42818005396615;19002.0826454145;78752.7716970105;148996.165947989;80230.3545556078;21340.6078033504;14833.7459773869;1.0188700474563
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.33";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.33;55796.4392629865;86840.8283130856;272167.7948051;479118.968696328;546224.799526007;282119.595880212;265496.550044339;49713.8049819445;1.01683648528468;0.6559;0.3245;0.958;0.56;0.673;0.347;6.559;5.77883333333333;NA;3.245;2.99683333333333;NA;0;0;0;0.21996172925255;0.333272186798541;0.448424086361307;16751.6536448792;76128.5158605117;149045.953648497;78302.4138674697;21234.8349569809;14618.6723156745;1.01725473136138
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.34";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.34;46494.7106480654;74196.7937324249;254112.75924036;467513.064751079;533061.202197331;266786.874637075;245453.561226533;47486.5216138193;1.01483538553731;0.691;0.3672;0.962;0.602;0.704;0.387;6.91;6.20658333333333;NA;3.672;3.39175;NA;0;0;0;0.225785061341659;0.344306214073279;0.469443075416273;14566.9201110791;73064.0631922903;149616.320306455;76064.4410189995;21050.5323953832;14348.7021541592;1.01525620464594
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.35";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.35;38682.1283198747;62141.4874021572;234453.233530835;455996.572372998;520000.655858097;251285.157402408;223801.817786476;45212.4806591023;1.01255384493007;0.7216;0.4118;0.974;0.657;0.734;0.433;7.216;6.47825;NA;4.118;3.78866666666667;NA;0;0;0;0.232621025921158;0.356356737225145;0.490938593794403;12221.7098431918;69584.0168204133;149533.381965023;73540.7247328568;20774.0891119163;14020.1277659022;1.01291199099013
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.36";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.36;31245.9777238725;51618.3744514332;214295.466825902;441825.02979152;507190.351083169;235583.613129572;202879.360737552;42826.8668770546;1.00978924926474;0.7541;0.4592;0.982;0.705;0.769;0.485;7.541;6.84275;NA;4.592;4.28616666666667;NA;0;0;0;0.238542411210166;0.368770087263247;0.514190182075957;10225.2683179575;65156.7887616153;149009.563312033;70733.9485270793;20402.4915759348;13624.8769340073;1.01012813875956
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.37";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.37;24323.2876602016;42147.5246300598;193251.148476066;427313.39229855;492171.386752906;219788.849148356;186141.729420018;40354.1533595415;1.00655144920871;0.7851;0.5067;0.987;0.746;0.797;0.538;7.851;7.19466666666667;NA;5.067;4.75725;NA;0;0;0;0.24514964130033;0.381214451891884;0.539623062548105;8460.97212428216;60544.688313496;148362.068266489;67671.8803768231;19924.6934353905;13158.8330720131;1.00688147166059
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.38";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.38;19212.2696370152;34332.5301459187;173629.280916356;411993.6690654;477681.383106054;203962.926584507;158630.799796938;37840.4295304602;1.0026190491033;0.8107;0.552;0.99;0.781;0.827;0.583;8.107;7.5155;NA;5.52;5.185;NA;0;0;0;0.252169880340888;0.394188889163948;0.567215531969382;6777.03452567981;55733.6741998403;147169.853189029;64387.3501986359;19332.2385714659;12628.6992706275;1.00286831790347
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.39";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.39;14822.6535934543;27328.8950122955;153804.454496992;396313.262243263;463492.555853549;188374.174166513;137012.573384691;35363.2302423942;0.998053789232941;0.8339;0.5975;0.993;0.824;0.851;0.644;8.339;7.79966666666667;NA;5.975;5.63291666666667;NA;0;0;0;0.259628642997526;0.408431341905165;0.598463370246719;5387.83972186218;50972.9135286332;145992.924822258;60952.4210992486;18672.9914023088;12070.0111779587;0.998153479223549
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.4";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.4;11017.8245702011;21019.8921350089;135548.276729202;379968.41222694;447688.972459175;173216.620819159;116938.225817766;32903.0985071625;0.992845962870069;0.8551;0.6426;0.994;0.854;0.874;0.691;8.551;8.06566666666667;NA;6.426;6.089;NA;0;0;0;0.266221132990679;0.4231550194449;0.634986152226122;4180.21662419474;46043.9706797747;144351.739328976;57432.0345040893;17972.77596482;11498.4710858551;0.992825725295852
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.41";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.41;7846.50332713323;16017.8907353568;117488.27684732;364498.181308844;430500.411023534;158560.924135778;100240.457361595;30462.7302695933;0.986907928101456;0.8739;0.6838;0.996;0.876;0.891;0.724;8.739;8.26133333333333;NA;6.838;6.5215;NA;0;0;0;0.272905960192945;0.438528395188344;0.676494900356923;3123.96965998727;40963.8702055728;142023.247364198;53857.4958186085;17218.0549354333;10905.1273271008;0.986742307470776
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.42";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.42;5294.08151720715;11774.9055900575;100533.68771192;345835.958337462;418943.09263202;144462.633616505;81330.2729657077;28063.2079139428;0.980223953859957;0.8927;0.7206;0.996;0.901;0.911;0.762;8.927;8.45866666666667;NA;7.206;6.9285;NA;0;0;0;0.280888917234642;0.454430372664229;0.723427073744297;2250.5706829717;36084.0029971886;140464.394767832;50259.756342981;16429.5161017196;10296.5153113088;0.979948714136821
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.43";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.43;3575.9075980053;8562.41832521802;85466.9196554525;327969.215777671;401620.629272203;130997.297287119;63745.5641714826;25749.9190205082;0.972871744393555;0.9087;0.7549;0.997;0.921;0.929;0.803;9.087;8.66833333333333;NA;7.549;7.27966666666667;NA;0;0;0;0.289791379703521;0.471583570206362;0.778572187002851;1589.62923038126;31460.5486936629;137349.721333154;46672.3573086172;15612.4901538372;9682.05612361385;0.972475726483776
"last";"ASSnone_HCR12_RECmed_INNvar_OERnone_Fscan0.44";"ASSnone";"HCR12";"RECmed";"INNvar";"OERnone";0.44;2408.93790021704;6090.89018975306;71029.8255409021;306810.418001569;384056.586005389;118224.936044122;50974.172869819;23544.1204073457;0.964833548245198;0.9241;0.7874;0.998;0.932;0.94;0.837;9.241;8.88741666666667;NA;7.874;7.65166666666667;NA;0;0;0;0.298433983692578;0.490509542837863;0.850938396536811;1083.99851640283;27048.4768282319;134106.094975164;43133.4139910059;14800.560874244;9066.20864723558;0.96432784652478
